OBJECTID,NAME,State,County,GEOid_1,GEOdisplay,HH0V_15,HH0V_14,HH0V_13,HH0V_12,HH0V_11,HH1V_15,HH1V_14,HH1V_13,HH1V_12,HH1V_11,HH2V_15,HH2V_14,HH2V_13,HH2V_12,HH2V_11,HH3V_15,HH3V_14,HH3V_13,HH3V_12,HH3V_11,HH4V_15,HH4V_14,HH4V_13,HH4V_12,HH4V_11,P1HH0V_15,P1HH0V_14,P1HH0V_13,P1HH0V_12,P1HH0V_11,P1HH1V_15,P1HH1V_14,P1HH1V_13,P1HH1V_12,P1HH1V_11,P1HH2V_15,P1HH2V_14,P1HH2V_13,P1HH2V_12,P1HH2V_11,P1HH3V_15,P1HH3V_14,P1HH3V_13,P1HH3V_12,P1HH3V_11,P1HH4V_15,P1HH4V_14,P1HH4V_13,P1HH4V_12,P1HH4V_11,P2HH0V_15,P2HH0V_14,P2HH0V_13,P2HH0V_12,P2HH0V_11,P2HH1V_15,P2HH1V_14,P2HH1V_13,P2HH1V_12,P2HH1V_11,P2HH2V_15,P2HH2V_14,P2HH2V_13,P2HH2V_12,P2HH2V_11,P2HH3V_15,P2HH3V_14,P2HH3V_13,P2HH3V_12,P2HH3V_11,P2HH4V_15,P2HH4V_14,P2HH4V_13,P2HH4V_12,P2HH4V_11,P3HH0V_15,P3HH0V_14,P3HH0V_13,P3HH0V_12,P3HH0V_11,P3HH1V_15,P3HH1V_14,P3HH1V_13,P3HH1V_12,P3HH1V_11,P3HH2V_15,P3HH2V_14,P3HH2V_13,P3HH2V_12,P3HH2V_11,P3HH3V_15,P3HH3V_14,P3HH3V_13,P3HH3V_12,P3HH3V_11,P3HH4V_15,P3HH4V_14,P3HH4V_13,P3HH4V_12,P3HH4V_11,P4HH0V_15,P4HH0V_14,P4HH0V_13,P4HH0V_12,P4HH0V_11,P4HH1V_15,P4HH1V_14,P4HH1V_13,P4HH1V_12,P4HH1V_11,P4HH2V_15,P4HH2V_14,P4HH2V_13,P4HH2V_12,P4HH2V_11,P4HH3V_15,P4HH3V_14,P4HH3V_13,P4HH3V_12,P4HH3V_11,P4HH4V_15,P4HH4V_14,P4HH4V_13,P4HH4V_12,P4HH4V_11,CT
1,2.02,District of Columbia,District of Columbia,1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",21.48,19.86,17.22,19.08,18.18,54.60,57.06,56.26,54.03,57.68,19.69,19.02,22.04,23.39,20.09,3.65,4.07,4.48,2.45,2.70,0.58,0.00,0.00,1.04,1.35,24.60,24.80,23.30,24.90,27.20,66.50,66.10,67.40,67.50,70.20,8.90,9.10,9.20,7.50,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.20,13.10,9.60,14.50,10.90,44.50,47.70,42.60,38.90,48.30,38.90,38.60,42.30,42.20,36.80,0.60,0.60,5.40,4.50,3.90,1.90,0.00,0.00,0.00,0.00,12.00,7.80,11.80,11.50,4.90,61.70,59.70,73.00,72.00,74.80,10.90,15.60,5.90,12.00,12.30,15.30,16.90,9.30,0.00,0.00,0.00,0.00,0.00,4.50,8.00,34.10,26.50,0.25,21.20,23.40,35.60,46.10,44.60,40.10,34.10,18.00,10.40,18.30,27.40,27.30,12.30,17.00,11.70,6.60,9.80,0.00,0.00,0.00,4.70,5.40,11001000202
2,6,District of Columbia,District of Columbia,1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",19.38,19.57,21.03,23.72,22.00,51.00,50.66,46.51,46.43,46.69,26.52,26.81,28.59,28.26,29.20,3.11,2.96,3.54,1.55,1.96,0.00,0.00,0.33,0.05,0.15,37.50,36.00,35.90,37.80,39.70,60.00,61.40,59.20,57.60,56.90,2.50,2.70,4.90,4.60,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,12.80,16.20,18.70,13.50,52.30,52.00,44.90,40.20,41.30,32.60,31.70,34.40,39.50,41.60,4.10,3.50,4.40,1.70,3.50,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,62.20,47.60,37.30,55.80,49.30,23.70,40.60,49.50,39.40,47.90,9.10,11.80,13.20,4.80,2.80,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,5.00,9.70,10.90,13.50,19.10,88.00,86.10,80.90,80.70,75.80,4.10,4.20,5.00,5.30,3.60,0.00,0.00,3.20,0.50,1.50,11001000600
3,19.01,District of Columbia,District of Columbia,1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",15.94,14.44,14.36,15.50,15.81,50.38,55.68,52.10,53.22,51.14,29.81,27.23,28.87,25.05,28.04,2.42,1.01,2.20,3.39,2.80,1.45,1.65,2.47,2.84,2.21,34.20,26.90,30.10,21.30,17.60,55.80,65.00,65.30,74.00,76.20,8.30,6.80,4.60,4.80,6.30,0.00,0.00,0.00,0.00,0.00,1.70,1.40,0.00,0.00,0.00,14.30,14.40,7.20,14.10,12.40,47.40,47.00,46.70,44.60,46.20,35.80,36.30,42.80,37.80,39.40,2.50,2.30,3.30,3.50,2.00,0.00,0.00,0.00,0.00,0.00,3.50,8.00,12.80,16.70,21.80,53.20,58.20,41.30,30.00,20.50,39.40,29.10,36.70,36.10,37.20,3.90,0.00,3.70,11.70,13.50,0.00,4.60,5.50,5.60,7.10,4.00,1.40,0.03,4.40,16.40,45.80,52.90,49.10,44.20,32.90,41.50,42.20,36.50,32.70,38.90,4.30,1.40,2.60,4.40,3.60,4.30,2.10,8.90,14.20,8.20,11001001901
4,22.02,District of Columbia,District of Columbia,1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",34.81,32.38,39.57,35.06,35.60,42.12,39.33,38.23,45.36,40.77,18.51,23.60,17.67,15.40,20.42,2.89,2.72,2.90,2.48,1.88,1.68,1.97,1.63,1.70,1.33,30.60,40.00,50.20,46.00,52.20,59.20,51.50,45.40,47.80,37.70,8.90,7.30,3.30,5.00,8.80,0.00,0.00,0.00,0.00,0.00,1.20,1.20,1.10,1.30,1.30,45.60,24.80,29.30,25.10,24.40,37.40,39.20,30.30,35.40,29.20,17.10,32.80,36.70,34.60,42.70,0.00,3.20,3.70,4.90,3.70,0.00,0.00,0.00,0.00,0.00,44.60,39.50,50.20,40.60,31.40,23.40,19.50,22.40,35.50,45.90,32.00,41.10,27.40,24.00,22.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.10,23.20,0.23,18.80,13.10,33.60,32.20,43.40,56.60,59.00,24.80,31.60,18.80,12.50,17.60,11.60,7.60,9.20,6.90,5.90,4.90,5.40,5.30,5.20,4.50,11001002202
5,31,District of Columbia,District of Columbia,1400000US11001003100,"Census Tract 31, District of Columbia, District of Columbia",28.45,29.85,30.25,30.43,29.19,46.03,49.17,52.76,56.60,55.35,15.69,12.11,8.74,3.62,6.81,7.76,6.47,6.23,7.02,7.46,2.07,2.40,2.01,2.34,1.19,32.80,42.80,49.80,53.30,47.50,49.30,51.40,46.70,46.70,52.50,8.50,5.80,3.50,0.00,0.00,9.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.40,27.30,25.40,20.60,20.90,53.50,52.70,62.70,69.80,62.30,16.70,17.90,9.60,6.90,16.80,0.00,0.00,0.00,0.00,0.00,1.40,2.10,2.40,2.80,0.00,33.30,24.80,41.10,45.60,34.00,42.90,58.90,43.70,47.00,59.00,23.80,16.30,15.20,0.00,0.00,0.00,0.00,0.00,7.40,7.10,0.00,0.00,0.00,0.00,0.00,21.40,19.70,0.10,8.40,10.00,30.80,36.20,51.40,59.70,47.30,21.00,9.40,8.90,6.20,8.50,20.30,27.60,25.10,20.10,28.90,6.50,7.10,4.90,5.50,5.50,11001003100
6,42.01,District of Columbia,District of Columbia,1400000US11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",47.05,46.83,46.98,47.86,48.48,46.34,45.41,45.84,47.24,44.91,6.61,7.77,7.19,4.90,5.72,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,56.90,53.20,53.00,54.20,51.20,40.50,44.30,45.90,45.80,46.30,2.60,2.50,1.10,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.90,44.80,46.70,44.40,45.40,56.80,48.30,45.90,48.80,45.00,4.40,6.90,7.30,6.80,9.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.40,41.20,40.60,45.80,50.00,36.00,44.70,40.60,54.20,28.90,21.60,14.10,18.80,0.00,0.00,0.00,0.00,0.00,0.00,21.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.60,48.40,35.20,48.80,48.10,39.30,51.60,64.80,51.20,51.90,36.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001004201
7,50.02,District of Columbia,District of Columbia,1400000US11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",60.99,57.38,51.23,55.25,49.28,34.53,39.16,42.98,39.22,44.63,3.65,3.46,5.78,5.53,6.09,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,70.40,65.70,56.20,60.00,51.10,28.20,34.30,43.80,40.00,48.20,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,52.60,49.20,45.40,45.30,41.90,36.30,38.70,37.00,35.80,38.70,11.20,12.20,17.60,18.90,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,32.10,33.30,62.20,53.90,76.00,67.90,66.70,37.80,46.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.20,28.80,0.34,50.30,61.90,51.90,64.40,60.80,49.70,38.10,7.90,6.80,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001005002
8,66,District of Columbia,District of Columbia,1400000US11001006600,"Census Tract 66, District of Columbia, District of Columbia",25.11,25.03,27.14,28.09,33.33,55.31,55.32,49.65,51.35,44.48,18.14,18.01,22.29,19.16,20.90,1.44,1.64,0.58,1.08,0.64,0.00,0.00,0.35,0.32,0.64,34.90,30.10,40.60,45.60,48.40,65.10,69.90,59.40,51.30,49.30,0.00,0.00,0.00,3.10,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.70,23.80,23.80,14.50,18.40,44.20,47.90,45.20,54.00,42.20,36.10,28.30,31.00,31.50,39.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50,14.40,0.00,0.00,0.00,79.50,52.60,39.70,29.30,13.00,4.80,30.90,60.30,53.40,75.90,1.20,2.10,0.00,17.20,11.10,0.00,0.00,0.00,0.00,0.00,18.00,25.00,0.17,24.40,26.30,40.20,45.00,42.40,54.10,45.80,32.00,21.40,34.50,19.30,22.90,9.80,8.60,3.60,0.00,0.00,0.00,0.00,2.20,2.20,5.10,11001006600
9,77.08,District of Columbia,District of Columbia,1400000US11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",65.46,58.87,58.73,52.37,50.93,20.73,29.85,34.45,38.23,38.49,10.79,8.64,5.00,2.70,3.82,1.47,1.27,1.09,2.51,1.60,1.55,1.36,0.73,4.19,5.16,70.00,57.10,60.90,56.90,54.00,30.00,42.90,39.10,43.10,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,57.70,68.00,57.90,60.30,14.30,25.00,28.70,30.80,33.70,15.30,13.10,1.10,4.30,3.80,0.00,0.00,0.00,3.30,2.20,4.40,4.30,2.20,3.60,0.00,70.80,68.60,42.70,39.20,41.80,18.50,20.30,35.00,38.40,31.50,7.00,7.60,15.40,7.20,13.30,3.70,3.50,6.80,7.20,6.70,0.00,0.00,0.00,8.00,6.70,45.90,55.70,0.46,42.90,39.10,20.10,18.00,35.00,38.70,36.50,28.90,21.60,16.80,3.30,3.90,5.00,4.80,2.00,3.80,0.00,0.00,0.00,0.00,11.30,20.40,11001007708
10,79.03,District of Columbia,District of Columbia,1400000US11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",32.62,35.33,37.99,37.93,34.58,49.06,48.64,46.17,45.01,45.04,14.55,12.91,13.02,15.35,17.16,2.01,2.31,1.88,1.18,3.22,1.76,0.82,0.94,0.52,0.00,41.30,45.00,56.00,46.90,46.00,50.10,44.40,32.40,41.00,42.20,5.20,7.10,8.00,10.20,11.80,3.40,3.50,3.60,2.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,17.60,24.20,35.20,17.30,63.40,61.50,67.20,38.60,45.10,21.60,18.20,8.60,26.10,19.50,1.50,2.70,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,31.40,27.50,8.80,22.80,11.50,30.20,44.10,64.20,53.10,60.20,38.40,28.40,27.00,24.10,28.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.60,34.50,0.26,13.20,30.00,37.30,49.60,46.30,63.20,36.00,15.70,10.90,18.80,17.60,34.00,0.00,0.00,0.00,0.00,0.00,10.40,5.00,8.80,5.90,0.00,11001007903
